2023/02/07 14:02:11.878|TRACE|this is trace 02/07/2023 14:02:11 |LoggingSamples.Program|date=2023/2/7 14:02:11
2023/02/07 14:02:11.878|DEBUG|this is debug |LoggingSamples.Program|EventId_Id=4004, EventId_Name=, EventId=4004
2023/02/07 14:02:11.878|DEBUG|this is debug |LoggingSamples.Program|EventId_Id=4004, EventId_Name=, EventId=4004
2023/02/07 14:02:11.878|INFO|this is info |LoggingSamples.Program|
2023/02/07 14:02:11.878|INFO|this is info |LoggingSamples.Program|
2023/02/07 14:02:11.878|WARN|this is warning |Zerodo|
2023/02/07 14:02:11.878|WARN|this is warning |Zerodo|
2023/02/07 14:02:11.878|ERROR|this is error |Zerodo|
2023/02/07 14:02:11.878|ERROR|this is error |Zerodo|
2023/02/07 14:02:11.878|FATAL|this critical |Zerodo|
2023/02/07 14:02:11.894|FATAL|this critical |Zerodo|
2023/02/07 14:02:11.894|TRACE|a=123 |Zerodo|a=123
2023/02/07 14:02:11.894|TRACE|a=123 |Zerodo|a=123
2023/02/07 14:02:11.894|TRACE|b=321 |Zerodo|b=321
2023/02/07 14:02:11.894|TRACE|b=321 |Zerodo|b=321
