2023/02/07 14:02:10.158|TRACE|this is trace 02/07/2023 14:02:10 |LoggingSamples.Program|date=2023/2/7 14:02:10
2023/02/07 14:02:10.158|DEBUG|this is debug |LoggingSamples.Program|EventId_Id=4004, EventId_Name=, EventId=4004
2023/02/07 14:02:10.158|DEBUG|this is debug |LoggingSamples.Program|EventId_Id=4004, EventId_Name=, EventId=4004
2023/02/07 14:02:10.174|INFO|this is info |LoggingSamples.Program|
2023/02/07 14:02:10.174|INFO|this is info |LoggingSamples.Program|
2023/02/07 14:02:10.174|WARN|this is warning |Zerodo|
2023/02/07 14:02:10.174|WARN|this is warning |Zerodo|
2023/02/07 14:02:10.174|ERROR|this is error |Zerodo|
2023/02/07 14:02:10.174|ERROR|this is error |Zerodo|
2023/02/07 14:02:10.174|FATAL|this critical |Zerodo|
2023/02/07 14:02:10.174|FATAL|this critical |Zerodo|
2023/02/07 14:02:10.174|TRACE|a=123 |Zerodo|a=123
2023/02/07 14:02:10.174|TRACE|a=123 |Zerodo|a=123
2023/02/07 14:02:10.174|TRACE|b=321 |Zerodo|b=321
2023/02/07 14:02:10.174|TRACE|b=321 |Zerodo|b=321
